display_row,panel,label,cohort,outcome,analysis_role,validation,estimate,ci_lower,ci_upper,n,source_file,source_row_0based,source_filter,source_estimate_column,source_n_column,source_ci_columns,unit,notes
11,A Complete items,later pre1,UKHLS,,descriptive,not applicable,1.0,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,312,"{""cohort"": ""UKHLS"", ""episode_position"": ""later"", ""record_type"": ""completeness"", ""time_role"": ""pre1""}",item_complete_pct,eligible_n,,proportion 0 to 1 despite source column name pct,all eligible two-event participants at the specified occasion
12,A Complete items,later year2,UKHLS,,descriptive,not applicable,1.0,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,314,"{""cohort"": ""UKHLS"", ""episode_position"": ""later"", ""record_type"": ""completeness"", ""time_role"": ""year2""}",item_complete_pct,eligible_n,,proportion 0 to 1 despite source column name pct,all eligible two-event participants at the specified occasion
13,B Full scale reliability,earlier event alpha,HRS,,descriptive,not applicable,0.8124937076706567,,,1159.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,316,"{""cohort"": ""HRS"", ""episode_position"": ""earlier"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""alpha"", ""time_role"": ""event""}",estimate,n,,reliability coefficient,complete-case covariance
14,B Full scale reliability,earlier event omega_total,HRS,,descriptive,not applicable,0.8204888323967438,,,1159.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,317,"{""cohort"": ""HRS"", ""episode_position"": ""earlier"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""omega_total"", ""time_role"": ""event""}",estimate,n,,reliability coefficient,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
15,B Full scale reliability,earlier pre1 alpha,HRS,,descriptive,not applicable,0.8228061022046066,,,1161.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,322,"{""cohort"": ""HRS"", ""episode_position"": ""earlier"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""alpha"", ""time_role"": ""pre1""}",estimate,n,,reliability coefficient,complete-case covariance
16,B Full scale reliability,earlier pre1 omega_total,HRS,,descriptive,not applicable,0.8321177019666026,,,1161.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,323,"{""cohort"": ""HRS"", ""episode_position"": ""earlier"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""omega_total"", ""time_role"": ""pre1""}",estimate,n,,reliability coefficient,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
17,B Full scale reliability,earlier year2 alpha,HRS,,descriptive,not applicable,0.8203036028850385,,,1161.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,328,"{""cohort"": ""HRS"", ""episode_position"": ""earlier"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""alpha"", ""time_role"": ""year2""}",estimate,n,,reliability coefficient,complete-case covariance
18,B Full scale reliability,earlier year2 omega_total,HRS,,descriptive,not applicable,0.8279389642438102,,,1161.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,329,"{""cohort"": ""HRS"", ""episode_position"": ""earlier"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""omega_total"", ""time_role"": ""year2""}",estimate,n,,reliability coefficient,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
19,B Full scale reliability,later event alpha,HRS,,descriptive,not applicable,0.8109240471620521,,,1147.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,334,"{""cohort"": ""HRS"", ""episode_position"": ""later"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""alpha"", ""time_role"": ""event""}",estimate,n,,reliability coefficient,complete-case covariance
20,B Full scale reliability,later event omega_total,HRS,,descriptive,not applicable,0.8161487734219504,,,1147.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,335,"{""cohort"": ""HRS"", ""episode_position"": ""later"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""omega_total"", ""time_role"": ""event""}",estimate,n,,reliability coefficient,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
21,B Full scale reliability,later pre1 alpha,HRS,,descriptive,not applicable,0.7955987771819059,,,1156.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,340,"{""cohort"": ""HRS"", ""episode_position"": ""later"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""alpha"", ""time_role"": ""pre1""}",estimate,n,,reliability coefficient,complete-case covariance
22,B Full scale reliability,later pre1 omega_total,HRS,,descriptive,not applicable,0.8046791399509395,,,1156.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,341,"{""cohort"": ""HRS"", ""episode_position"": ""later"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""omega_total"", ""time_role"": ""pre1""}",estimate,n,,reliability coefficient,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
23,B Full scale reliability,later year2 alpha,HRS,,descriptive,not applicable,0.800003304447165,,,1134.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,346,"{""cohort"": ""HRS"", ""episode_position"": ""later"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""alpha"", ""time_role"": ""year2""}",estimate,n,,reliability coefficient,complete-case covariance
24,B Full scale reliability,later year2 omega_total,HRS,,descriptive,not applicable,0.807650800575127,,,1134.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,347,"{""cohort"": ""HRS"", ""episode_position"": ""later"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""omega_total"", ""time_role"": ""year2""}",estimate,n,,reliability coefficient,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
25,B Full scale reliability,earlier event alpha,UKHLS,,descriptive,not applicable,0.9195533919696848,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,352,"{""cohort"": ""UKHLS"", ""episode_position"": ""earlier"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""alpha"", ""time_role"": ""event""}",estimate,n,,reliability coefficient,complete-case covariance
26,B Full scale reliability,earlier event omega_total,UKHLS,,descriptive,not applicable,0.9230874231130616,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,353,"{""cohort"": ""UKHLS"", ""episode_position"": ""earlier"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""omega_total"", ""time_role"": ""event""}",estimate,n,,reliability coefficient,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
27,B Full scale reliability,earlier pre1 alpha,UKHLS,,descriptive,not applicable,0.9023921646505196,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,358,"{""cohort"": ""UKHLS"", ""episode_position"": ""earlier"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""alpha"", ""time_role"": ""pre1""}",estimate,n,,reliability coefficient,complete-case covariance
28,B Full scale reliability,earlier pre1 omega_total,UKHLS,,descriptive,not applicable,0.905858708196586,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,359,"{""cohort"": ""UKHLS"", ""episode_position"": ""earlier"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""omega_total"", ""time_role"": ""pre1""}",estimate,n,,reliability coefficient,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
29,B Full scale reliability,earlier year2 alpha,UKHLS,,descriptive,not applicable,0.9123654782732228,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,364,"{""cohort"": ""UKHLS"", ""episode_position"": ""earlier"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""alpha"", ""time_role"": ""year2""}",estimate,n,,reliability coefficient,complete-case covariance
30,B Full scale reliability,earlier year2 omega_total,UKHLS,,descriptive,not applicable,0.9165004587776058,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,365,"{""cohort"": ""UKHLS"", ""episode_position"": ""earlier"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""omega_total"", ""time_role"": ""year2""}",estimate,n,,reliability coefficient,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
31,B Full scale reliability,later event alpha,UKHLS,,descriptive,not applicable,0.9218232465142862,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,370,"{""cohort"": ""UKHLS"", ""episode_position"": ""later"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""alpha"", ""time_role"": ""event""}",estimate,n,,reliability coefficient,complete-case covariance
32,B Full scale reliability,later event omega_total,UKHLS,,descriptive,not applicable,0.925084043176996,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,371,"{""cohort"": ""UKHLS"", ""episode_position"": ""later"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""omega_total"", ""time_role"": ""event""}",estimate,n,,reliability coefficient,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
33,B Full scale reliability,later pre1 alpha,UKHLS,,descriptive,not applicable,0.917238801295198,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,376,"{""cohort"": ""UKHLS"", ""episode_position"": ""later"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""alpha"", ""time_role"": ""pre1""}",estimate,n,,reliability coefficient,complete-case covariance
34,B Full scale reliability,later pre1 omega_total,UKHLS,,descriptive,not applicable,0.9199526853107474,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,377,"{""cohort"": ""UKHLS"", ""episode_position"": ""later"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""omega_total"", ""time_role"": ""pre1""}",estimate,n,,reliability coefficient,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
35,B Full scale reliability,later year2 alpha,UKHLS,,descriptive,not applicable,0.9176140477904572,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,382,"{""cohort"": ""UKHLS"", ""episode_position"": ""later"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""alpha"", ""time_role"": ""year2""}",estimate,n,,reliability coefficient,complete-case covariance
36,B Full scale reliability,later year2 omega_total,UKHLS,,descriptive,not applicable,0.9211928267356748,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,383,"{""cohort"": ""UKHLS"", ""episode_position"": ""later"", ""record_type"": ""reliability"", ""scale"": ""full"", ""statistic"": ""omega_total"", ""time_role"": ""year2""}",estimate,n,,reliability coefficient,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
37,C Change reliability,earlier acute full alpha,HRS,acute,descriptive,,0.643807840584552,,,1154.0,source_data/analysis_outputs/NMH_measurement_adjudication/04_split_half_reliability_and_prediction.csv,24,"{""cohort"": ""HRS"", ""episode_position"": ""earlier"", ""outcome_metric"": ""acute"", ""record_type"": ""change_reliability"", ""scale"": ""full"", ""statistic"": ""alpha_derived_change_reliability"", ""time_role"": ""pre1_to_event""}",estimate,n,ci_lower;ci_upper,reliability coefficient,negative estimates retained; no truncation
38,C Change reliability,earlier acute full omega_total,HRS,acute,descriptive,,0.6606149782673931,,,1154.0,source_data/analysis_outputs/NMH_measurement_adjudication/04_split_half_reliability_and_prediction.csv,25,"{""cohort"": ""HRS"", ""episode_position"": ""earlier"", ""outcome_metric"": ""acute"", ""record_type"": ""change_reliability"", ""scale"": ""full"", ""statistic"": ""omega_total_derived_change_reliability"", ""time_role"": ""pre1_to_event""}",estimate,n,ci_lower;ci_upper,reliability coefficient,negative estimates retained; no truncation
39,C Change reliability,earlier persistence full alpha,HRS,persistence,descriptive,,0.6472518720149909,,,1156.0,source_data/analysis_outputs/NMH_measurement_adjudication/04_split_half_reliability_and_prediction.csv,32,"{""cohort"": ""HRS"", ""episode_position"": ""earlier"", ""outcome_metric"": ""persistence"", ""record_type"": ""change_reliability"", ""scale"": ""full"", ""statistic"": ""alpha_derived_change_reliability"", ""time_role"": ""pre1_to_year2""}",estimate,n,ci_lower;ci_upper,reliability coefficient,negative estimates retained; no truncation
40,C Change reliability,earlier persistence full omega_total,HRS,persistence,descriptive,,0.6639253369429116,,,1156.0,source_data/analysis_outputs/NMH_measurement_adjudication/04_split_half_reliability_and_prediction.csv,33,"{""cohort"": ""HRS"", ""episode_position"": ""earlier"", ""outcome_metric"": ""persistence"", ""record_type"": ""change_reliability"", ""scale"": ""full"", ""statistic"": ""omega_total_derived_change_reliability"", ""time_role"": ""pre1_to_year2""}",estimate,n,ci_lower;ci_upper,reliability coefficient,negative estimates retained; no truncation
41,C Change reliability,later acute full alpha,HRS,acute,descriptive,,0.6082706419730869,,,1139.0,source_data/analysis_outputs/NMH_measurement_adjudication/04_split_half_reliability_and_prediction.csv,40,"{""cohort"": ""HRS"", ""episode_position"": ""later"", ""outcome_metric"": ""acute"", ""record_type"": ""change_reliability"", ""scale"": ""full"", ""statistic"": ""alpha_derived_change_reliability"", ""time_role"": ""pre1_to_event""}",estimate,n,ci_lower;ci_upper,reliability coefficient,negative estimates retained; no truncation
42,C Change reliability,later acute full omega_total,HRS,acute,descriptive,,0.6222654569633961,,,1139.0,source_data/analysis_outputs/NMH_measurement_adjudication/04_split_half_reliability_and_prediction.csv,41,"{""cohort"": ""HRS"", ""episode_position"": ""later"", ""outcome_metric"": ""acute"", ""record_type"": ""change_reliability"", ""scale"": ""full"", ""statistic"": ""omega_total_derived_change_reliability"", ""time_role"": ""pre1_to_event""}",estimate,n,ci_lower;ci_upper,reliability coefficient,negative estimates retained; no truncation
43,C Change reliability,later persistence full alpha,HRS,persistence,descriptive,,0.5863502478791115,,,1126.0,source_data/analysis_outputs/NMH_measurement_adjudication/04_split_half_reliability_and_prediction.csv,48,"{""cohort"": ""HRS"", ""episode_position"": ""later"", ""outcome_metric"": ""persistence"", ""record_type"": ""change_reliability"", ""scale"": ""full"", ""statistic"": ""alpha_derived_change_reliability"", ""time_role"": ""pre1_to_year2""}",estimate,n,ci_lower;ci_upper,reliability coefficient,negative estimates retained; no truncation
44,C Change reliability,later persistence full omega_total,HRS,persistence,descriptive,,0.60343125302211,,,1126.0,source_data/analysis_outputs/NMH_measurement_adjudication/04_split_half_reliability_and_prediction.csv,49,"{""cohort"": ""HRS"", ""episode_position"": ""later"", ""outcome_metric"": ""persistence"", ""record_type"": ""change_reliability"", ""scale"": ""full"", ""statistic"": ""omega_total_derived_change_reliability"", ""time_role"": ""pre1_to_year2""}",estimate,n,ci_lower;ci_upper,reliability coefficient,negative estimates retained; no truncation
45,C Change reliability,earlier acute full alpha,UKHLS,acute,descriptive,,0.8305371452596285,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/04_split_half_reliability_and_prediction.csv,56,"{""cohort"": ""UKHLS"", ""episode_position"": ""earlier"", ""outcome_metric"": ""acute"", ""record_type"": ""change_reliability"", ""scale"": ""full"", ""statistic"": ""alpha_derived_change_reliability"", ""time_role"": ""pre1_to_event""}",estimate,n,ci_lower;ci_upper,reliability coefficient,negative estimates retained; no truncation
46,C Change reliability,earlier acute full omega_total,UKHLS,acute,descriptive,,0.837298103427851,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/04_split_half_reliability_and_prediction.csv,57,"{""cohort"": ""UKHLS"", ""episode_position"": ""earlier"", ""outcome_metric"": ""acute"", ""record_type"": ""change_reliability"", ""scale"": ""full"", ""statistic"": ""omega_total_derived_change_reliability"", ""time_role"": ""pre1_to_event""}",estimate,n,ci_lower;ci_upper,reliability coefficient,negative estimates retained; no truncation
47,C Change reliability,earlier persistence full alpha,UKHLS,persistence,descriptive,,0.8537441903045266,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/04_split_half_reliability_and_prediction.csv,64,"{""cohort"": ""UKHLS"", ""episode_position"": ""earlier"", ""outcome_metric"": ""persistence"", ""record_type"": ""change_reliability"", ""scale"": ""full"", ""statistic"": ""alpha_derived_change_reliability"", ""time_role"": ""pre1_to_year2""}",estimate,n,ci_lower;ci_upper,reliability coefficient,negative estimates retained; no truncation
48,C Change reliability,earlier persistence full omega_total,UKHLS,persistence,descriptive,,0.8597874646077677,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/04_split_half_reliability_and_prediction.csv,65,"{""cohort"": ""UKHLS"", ""episode_position"": ""earlier"", ""outcome_metric"": ""persistence"", ""record_type"": ""change_reliability"", ""scale"": ""full"", ""statistic"": ""omega_total_derived_change_reliability"", ""time_role"": ""pre1_to_year2""}",estimate,n,ci_lower;ci_upper,reliability coefficient,negative estimates retained; no truncation
49,C Change reliability,later acute full alpha,UKHLS,acute,descriptive,,0.8438175636175653,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/04_split_half_reliability_and_prediction.csv,72,"{""cohort"": ""UKHLS"", ""episode_position"": ""later"", ""outcome_metric"": ""acute"", ""record_type"": ""change_reliability"", ""scale"": ""full"", ""statistic"": ""alpha_derived_change_reliability"", ""time_role"": ""pre1_to_event""}",estimate,n,ci_lower;ci_upper,reliability coefficient,negative estimates retained; no truncation
50,C Change reliability,later acute full omega_total,UKHLS,acute,descriptive,,0.8496510192745999,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/04_split_half_reliability_and_prediction.csv,73,"{""cohort"": ""UKHLS"", ""episode_position"": ""later"", ""outcome_metric"": ""acute"", ""record_type"": ""change_reliability"", ""scale"": ""full"", ""statistic"": ""omega_total_derived_change_reliability"", ""time_role"": ""pre1_to_event""}",estimate,n,ci_lower;ci_upper,reliability coefficient,negative estimates retained; no truncation
51,C Change reliability,later persistence full alpha,UKHLS,persistence,descriptive,,0.8451143722636255,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/04_split_half_reliability_and_prediction.csv,80,"{""cohort"": ""UKHLS"", ""episode_position"": ""later"", ""outcome_metric"": ""persistence"", ""record_type"": ""change_reliability"", ""scale"": ""full"", ""statistic"": ""alpha_derived_change_reliability"", ""time_role"": ""pre1_to_year2""}",estimate,n,ci_lower;ci_upper,reliability coefficient,negative estimates retained; no truncation
52,C Change reliability,later persistence full omega_total,UKHLS,persistence,descriptive,,0.8509776050133158,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/04_split_half_reliability_and_prediction.csv,81,"{""cohort"": ""UKHLS"", ""episode_position"": ""later"", ""outcome_metric"": ""persistence"", ""record_type"": ""change_reliability"", ""scale"": ""full"", ""statistic"": ""omega_total_derived_change_reliability"", ""time_role"": ""pre1_to_year2""}",estimate,n,ci_lower;ci_upper,reliability coefficient,negative estimates retained; no truncation
